faz_id	2000	2010	2020	2030	2040
110	843	1209	1562	1927	2323
120	1241	1195	1332	1493	1719
135	2336	2107	2433	2712	3092
136	4104	3869	4072	4203	4337
205	11407	11697	12952	14045	15403
206	6929	7027	7958	8700	9497
315	6925	8199	9369	10732	12398
325	5541	6007	8316	10120	12371
405	3410	4454	5648	6670	7885
505	5548	5815	7427	8935	10932
506	2185	2408	3684	4893	6560
605	2808	2576	3644	4614	5883
606	2677	2708	3753	4735	5873
705	1616	3293	5876	8260	12024
706	2771	2842	3550	4171	5097
805	2354	3274	4249	4913	5549
806	1811	1664	2332	2930	3858
900	8578	8568	11614	14503	18097
1000	1607	1635	2263	2941	3981
1115	3689	3577	4193	4782	5500
1116	6700	8005	9194	10129	11187
1120	10315	11817	13022	13501	14207
1130	1737	2181	3418	4841	6821
1200	3735	4152	5900	7418	9460
1310	4162	4425	5116	5682	6284
1320	4139	3415	3686	3897	4203
1330	3250	3228	3552	3831	4179
1410	12688	13606	15711	17558	19883
1420	12577	13382	15850	17971	20161
1505	5127	4952	6393	7640	8918
1506	2745	3562	3784	3983	4315
1605	6012	6676	7264	7482	7580
1606	1616	1665	2049	2400	2785
1710	11118	11705	13349	14413	15950
1720	5348	6306	6825	7165	7565
1810	10680	14536	18214	21099	24453
1820	20462	21744	24912	27121	28582
1900	14026	13486	15987	18833	22694
2000	13220	14822	18421	22223	26717
2100	1763	1805	2395	3127	4081
2215	4474	4938	5840	6675	7730
2216	2315	2702	3343	3932	4793
2225	3320	4211	5467	6587	8089
2910	1129	781	870	952	1118
2925	1391	1154	1597	1893	2353
2926	1569	1441	2096	2622	3553
2927	1211	1268	1734	2281	3023
2935	10497	28072	27946	27761	27578
2936	2708	2947	3662	4747	6280
2940	1645	1596	1938	2334	2910
3010	7551	7722	8413	9129	10209
3020	19938	21353	23957	25881	27750
3030	8767	6953	8905	10850	13424
3045	3085	2825	3475	4021	4726
3046	6243	5956	6836	7593	8434
3110	2691	2407	3009	3734	4756
3120	19689	19411	22540	25751	29500
3130	19455	20657	26005	30404	34592
3200	5657	5796	7053	8032	9352
3310	1915	2074	2944	3715	4778
3320	3175	3357	4186	4868	5804
3330	1889	1254	1985	2556	3449
3413	963	721	976	1218	1611
3414	1839	1786	2161	2506	2890
3415	3226	4947	5158	5330	5599
3416	2798	2833	3379	3860	4402
3425	2185	1781	2025	2289	2801
3426	1455	1954	2370	2756	3317
3427	3072	2995	3817	4555	5447
3505	16390	17552	21808	24814	28811
3600	48923	47145	53942	61334	71154
3705	35544	34545	37993	42304	47477
3706	3570	3204	4227	5461	6983
3815	8976	8839	9418	9699	10133
3816	3117	3454	4444	5323	6274
3825	6025	6039	6977	7771	8704
3900	25955	27185	32046	36873	41683
3905	21458	19341	22805	27080	32323
4005	1481	1811	2402	3009	3714
4110	29894	30226	36395	41777	47100
4120	2592	3092	3660	4060	4377
4130	26472	28354	33830	39749	46565
4210	3970	3144	4038	4703	5588
4225	1619	2598	4342	5758	7655
4226	1421	1770	2452	3132	3922
4230	1379	809	1029	1240	1599
4300	9474	10442	12798	14698	16877
4400	7439	8093	8640	8730	8999
4505	668	648	775	940	1170
4506	26944	30294	34386	37739	40142
4605	9279	10154	12419	14412	16354
4606	2941	3199	4279	5211	6446
4607	3802	4974	7312	9361	11955
4706	1728	1589	2057	2342	2903
4810	7728	9161	10813	11957	13213
4820	5876	4626	5000	5603	6561
4900	34586	49175	63741	78437	82317
5010	15835	16427	18851	20548	22436
5020	6616	6207	7298	8440	9714
5100	1048	1227	1399	1608	1893
5205	34257	34816	39804	43323	47336
5305	20646	27334	32383	35941	39300
5306	17178	17097	20978	23803	26684
5415	40830	54858	66264	73049	75757
5425	27966	31897	38404	42201	46627
5426	13024	11601	13980	16467	19669
5515	3228	3340	4183	4836	5642
5525	5648	5234	6112	6881	7841
5535	5058	5567	6859	7890	9295
5545	3898	3859	5591	7386	9675
5546	12401	11633	15689	19062	23754
5600	11174	13103	15471	16990	18634
5715	1035	1167	1668	2179	2738
5716	6247	4948	6012	7132	8973
5720	8018	8245	9795	10912	12016
5815	26366	24245	27767	31827	37861
5825	49297	48887	54032	58338	63161
5826	8098	6921	8858	10818	13231
5915	4803	4799	5847	7054	8764
5916	5303	6119	7222	8201	9332
5925	17272	16784	19450	21590	24325
6010	127516	150659	166469	179134	185823
6020	46861	52412	61440	67152	69609
6113	37112	39600	43019	44000	44935
6114	19173	19189	20081	20086	20043
6115	8309	9289	10231	10796	11286
6123	48793	54688	68274	72430	77363
6124	9879	12005	13117	15252	17409
6125	9975	8903	11619	13197	15149
6126	2356	2563	3246	3843	4474
6213	12305	10841	15088	19008	22831
6214	24598	26278	28118	29615	30853
6215	14133	15425	18173	18786	19319
6216	7005	6452	6657	6917	7270
6223	7740	7464	8883	10166	11816
6224	5274	5744	7001	8125	9258
6225	14637	16575	19778	22131	24280
6226	5548	6194	7381	8350	9348
6316	15021	13716	16293	18664	21561
6325	5482	5765	7206	8311	9444
6326	10807	10613	12777	14132	15977
6410	12910	12535	13363	13914	14659
6420	6438	6104	7010	7718	8626
6505	1499	1718	1977	2357	2922
6506	3520	4281	5177	5930	6902
6605	1707	1732	2527	3023	3897
6606	1066	1139	1605	1991	2636
6900	1882	1834	2323	2799	3470
6910	745	578	850	1151	1748
6930	2771	2418	2713	3040	3571
7015	3721	3315	3844	4453	4937
7025	7296	7505	8745	9861	11163
7026	758	458	605	722	896
7100	6989	8602	10376	11394	12243
7205	5422	7100	8408	9445	10681
7206	13474	14992	19075	22580	26342
7315	2482	2960	3990	4538	5273
7316	2453	3078	4172	4728	5444
7320	5776	5762	7422	9190	11415
7335	6934	7798	9972	11676	13689
7340	2160	2364	3046	3559	4262
7415	8837	10630	13965	16491	19426
7425	1636	1662	2632	3497	4699
7435	2683	2985	5007	6737	9373
7436	1492	1527	2618	3445	4855
7515	5691	7752	10543	13277	16186
7525	1420	1628	2461	3394	4521
7526	5755	6174	7774	9610	11966
7535	4315	5721	8789	11320	14666
7537	13476	13458	16194	19438	23740
7605	685	567	820	1024	1353
7606	498	499	620	776	1042
7700	4028	4792	5836	6743	7768
7805	1863	1952	2914	3668	4781
7806	610	842	1287	1780	2396
7905	2547	3788	4943	6011	7283
8000	30556	31130	34442	37681	40896
8115	8562	9407	11537	13659	15769
8125	4155	5031	5788	6294	6803
8126	6126	7621	9506	11004	12694
8210	15160	18559	23198	27274	31613
8220	9828	18118	22048	24970	27809
8310	7460	8446	10219	11566	13260
8320	4936	5811	7984	9915	12299
8405	275	283	463	645	899
8406	203	107	202	294	466
8500	8733	10124	12472	14729	17316
8600	7999	9225	11145	12689	14159
8905	517	371	562	716	957
8906	931	740	1192	1561	2193
8910	1513	1612	2071	2459	3098
8925	1396	1496	2118	2635	3426
8926	1105	1075	1457	1822	2396
8927	278	139	231	343	533
8935	3314	3866	4780	5740	7025
8936	1447	2203	3503	4339	5783
8937	2774	4371	5729	6900	8289
9002	7230	7455	8131	8725	9615
9004	2727	3037	4347	5531	7132
9005	322	137	200	259	361
9006	835	916	1264	1568	1990
9009	1642	964	1131	1277	1466
9011	5520	6707	8261	9293	10640
9015	1102	1004	1247	1569	2102
9016	1251	1186	1519	1852	2287
9017	194	292	391	504	674
9018	9449	10310	12224	14128	16290
9019	2395	2369	3071	3789	4776
9020	2263	2408	3383	4202	5409
9900	1308	1594	1994	2396	2801
9901	3582	3206	4035	5003	6259
9902	19550	29489	32369	35106	37826
9904	6200	5964	6313	6645	7015
9908	2148	6708	6698	6652	6567
9909	688	936	1270	1554	1898
9913	4053	3835	4394	4836	5451
9914	2001	2120	2782	3503	4487
9915	2268	2259	2751	3166	3677
9916	1555	1902	2497	3063	3684
