city_id,population_2000,population_2010,population_2020,population_2025,population_2030,population_2035,population_2040
1.0,2413.0,2731.0,3166.0,3240.0,3295.0,3296.0,3286.0
2.0,11455.0,16819.0,17901.0,18597.0,19495.0,21006.0,23931.0
3.0,41321.0,43127.0,46582.0,48123.0,49866.0,52154.0,57075.0
4.0,20228.0,23067.0,25987.0,27680.0,29019.0,30072.0,30517.0
5.0,305.0,287.0,296.0,310.0,313.0,306.0,309.0
6.0,107875.0,117780.0,128506.0,135107.0,141637.0,150160.0,159841.0
7.0,4200.0,4661.0,6182.0,6925.0,9589.0,12519.0,16135.0
8.0,11589.0,17266.0,20834.0,23596.0,24967.0,26405.0,27478.0
9.0,13781.0,16738.0,18742.0,19579.0,20391.0,21357.0,22299.0
10.0,34217.0,35389.0,44540.0,46438.0,47905.0,49411.0,51110.0
11.0,6351.0,6286.0,6969.0,7269.0,7478.0,7899.0,8038.0
12.0,3613.0,3899.0,4196.0,4347.0,4623.0,4801.0,5172.0
13.0,31472.0,32649.0,36483.0,37293.0,37565.0,37729.0,37669.0
14.0,840.0,753.0,750.0,778.0,849.0,961.0,1097.0
15.0,1669.0,1726.0,1881.0,1927.0,2045.0,2100.0,2190.0
16.0,2757.0,2983.0,3146.0,3144.0,3138.0,3160.0,3143.0
17.0,13466.0,16837.0,17716.0,18043.0,18337.0,18737.0,19134.0
18.0,1043.0,1302.0,1421.0,1461.0,1525.0,1661.0,1792.0
19.0,29294.0,29142.0,32327.0,33409.0,34212.0,35044.0,35749.0
20.0,13297.0,11862.0,13724.0,14158.0,14468.0,14927.0,15432.0
21.0,4690.0,5748.0,5978.0,6138.0,6439.0,6718.0,7159.0
22.0,1586.0,2566.0,2620.0,2656.0,2653.0,2644.0,2702.0
23.0,9115.0,9340.0,11039.0,11773.0,12388.0,12784.0,12866.0
24.0,38771.0,38188.0,45576.0,46647.0,47693.0,48267.0,48722.0
25.0,10283.0,10154.0,11186.0,11626.0,12051.0,12504.0,13030.0
26.0,89479.0,97519.0,112246.0,118017.0,124242.0,132735.0,137344.0
27.0,84643.0,85908.0,93200.0,96142.0,99369.0,102411.0,108252.0
28.0,4680.0,8652.0,8976.0,9239.0,9344.0,9371.0,9746.0
29.0,5999.0,6656.0,7126.0,7126.0,7183.0,7156.0,7161.0
30.0,6416.0,7202.0,8033.0,8545.0,9158.0,9901.0,10691.0
31.0,1734.0,2077.0,2217.0,2408.0,2569.0,2648.0,2794.0
32.0,2019.0,3113.0,3418.0,3590.0,3818.0,4106.0,4934.0
33.0,560.0,571.0,688.0,711.0,711.0,716.0,711.0
34.0,223.0,226.0,224.0,226.0,239.0,233.0,226.0
35.0,18434.0,30678.0,33112.0,34333.0,35438.0,36591.0,38023.0
36.0,18054.0,21069.0,26344.0,28379.0,30240.0,33168.0,37879.0
37.0,80795.0,87455.0,99998.0,105847.0,109482.0,112455.0,116748.0
38.0,116571.0,125462.0,134199.0,139611.0,145743.0,152965.0,160591.0
39.0,43956.0,48714.0,55705.0,57025.0,58133.0,59080.0,59113.0
40.0,95948.0,106972.0,119036.0,128107.0,138497.0,149364.0,158748.0
41.0,12985.0,13350.0,15347.0,15716.0,15864.0,16031.0,16111.0
42.0,11894.0,14834.0,16652.0,17976.0,18868.0,19648.0,20478.0
43.0,56463.0,56705.0,62024.0,63274.0,64145.0,64534.0,64978.0
44.0,32230.0,33150.0,36234.0,37085.0,37924.0,39498.0,40978.0
45.0,14692.0,19898.0,21817.0,23018.0,23935.0,24692.0,25328.0
46.0,27347.0,37061.0,41310.0,44348.0,47844.0,52530.0,59525.0
47.0,3018.0,3254.0,3565.0,3588.0,3589.0,3584.0,3570.0
48.0,21758.0,22375.0,24681.0,24774.0,24952.0,24594.0,24786.0
49.0,13922.0,17759.0,18359.0,18784.0,19346.0,19984.0,21033.0
50.0,851.0,978.0,1160.0,1374.0,1629.0,1839.0,1982.0
51.0,11826.0,13317.0,14897.0,15820.0,16669.0,17216.0,17656.0
52.0,19210.0,19679.0,27318.0,29525.0,31498.0,32825.0,36445.0
53.0,17967.0,20197.0,21184.0,21503.0,21736.0,21874.0,22131.0
54.0,7734.0,10581.0,11785.0,12542.0,13226.0,13805.0,14186.0
55.0,6588.0,6558.0,7239.0,7400.0,7567.0,7667.0,7661.0
56.0,5713.0,5568.0,6123.0,6451.0,6651.0,7028.0,7731.0
57.0,3590.0,6121.0,6294.0,6826.0,6628.0,6760.0,6864.0
58.0,5525.0,6224.0,7104.0,7694.0,7988.0,8194.0,8293.0
59.0,141743.0,155160.0,166675.0,173893.0,182815.0,192407.0,207159.0
60.0,7116.0,7811.0,13357.0,14137.0,14809.0,15548.0,17669.0
61.0,6589.0,8807.0,10443.0,11551.0,12765.0,14307.0,16821.0
62.0,32785.0,35481.0,41616.0,43868.0,45314.0,47033.0,48664.0
63.0,43852.0,52837.0,58407.0,59892.0,62354.0,65554.0,69830.0
64.0,51021.0,64686.0,71068.0,73571.0,76187.0,79197.0,84463.0
65.0,805.0,868.0,917.0,921.0,953.0,963.0,1098.0
66.0,718.0,740.0,828.0,946.0,1073.0,1202.0,1374.0
67.0,32979.0,43828.0,48547.0,51500.0,54086.0,56523.0,58915.0
68.0,23376.0,24432.0,26983.0,27844.0,28793.0,29775.0,32500.0
69.0,532579.0,588780.0,648001.0,664826.0,677364.0,685218.0,685187.0
70.0,51266.0,53883.0,62428.0,67471.0,75681.0,86812.0,94481.0
71.0,15672.0,15901.0,21008.0,23097.0,24684.0,25938.0,28533.0
72.0,318.0,290.0,377.0,448.0,570.0,653.0,782.0
73.0,8666.0,8950.0,10450.0,11140.0,11733.0,12638.0,13949.0
74.0,110850.0,121111.0,131751.0,139319.0,148757.0,160247.0,173768.0
75.0,2685.0,10538.0,10520.0,10633.0,10671.0,10782.0,11220.0
76.0,528.0,502.0,587.0,658.0,769.0,918.0,1077.0
77.0,3727.0,5751.0,6199.0,6473.0,6736.0,7101.0,7978.0
78.0,6217.0,6313.0,6896.0,7137.0,7359.0,7555.0,7590.0
79.0,3192.0,4273.0,4597.0,4974.0,5311.0,5760.0,6304.0
80.0,8405.0,9241.0,10344.0,11081.0,11656.0,12357.0,12934.0
81.0,185222.0,190519.0,206376.0,211000.0,216700.0,227239.0,235407.0
82.0,17239.0,18185.0,22413.0,23613.0,25625.0,26796.0,27503.0
83.0,29455.0,31344.0,34272.0,35297.0,36268.0,37226.0,37873.0
84.0,401.0,443.0,507.0,585.0,636.0,688.0,760.0
85.0,10444.0,11571.0,14504.0,16253.0,17746.0,19907.0,20943.0
86.0,960.0,1218.0,1405.0,1435.0,1429.0,1437.0,1441.0
87.0,977.0,1096.0,1181.0,1195.0,1184.0,1186.0,1178.0
88.0,220865.0,249622.0,294897.0,313558.0,329436.0,342393.0,359175.0
89.0,44729.0,48355.0,67229.0,76252.0,83254.0,88639.0,94999.0
90.0,148433.0,183901.0,213941.0,238782.0,266646.0,293440.0,318127.0
91.0,170991.0,212025.0,246000.0,260136.0,273722.0,288967.0,311497.0
92.0,833.0,7113.0,7273.0,7911.0,8388.0,8792.0,9249.0
93.0,13127.0,16377.0,18251.0,19086.0,20004.0,20746.0,21531.0
94.0,4790.0,5897.0,6142.0,6367.0,6549.0,6642.0,6870.0
95.0,178.0,106.0,123.0,124.0,102.0,88.0,87.0
